cityid,city,country,date,Lat,Lng,max_temp,humidity,wind_speed,clouds
202,kajaani,FI,1603937042,64.23,27.73,46.4,93,14.99,90
203,menongue,AO,1603937042,-14.66,17.69,64.53,83,3.56,98
204,vila velha,BR,1603937043,-20.33,-40.29,82.0,83,11.41,40
205,slyudyanka,RU,1603937043,51.66,103.71,38.93,75,1.81,99
206,port elizabeth,ZA,1603936988,-33.92,25.57,64.4,88,9.17,90
207,tasiilaq,GL,1603937044,65.61,-37.64,33.8,43,18.34,100
208,laukaa,RU,1603937045,58.74,29.85,50.7,93,7.76,100
209,nikolskoye,RU,1603936509,59.7,30.79,46.4,93,4.47,90
210,lagos,NG,1603936533,6.58,3.75,78.8,94,4.23,20
211,valle hermoso,MX,1603937046,25.67,-97.83,64.4,42,2.24,5
212,namibe,AO,1603936912,-15.2,12.15,69.33,84,3.91,25
213,coahuayana,MX,1603937046,18.73,-103.68,75.2,78,9.17,40
214,muros,ES,1603937047,42.78,-9.06,55.0,94,4.0,56
215,madingou,CG,1603937047,-4.15,13.55,73.56,92,1.83,100
216,timra,SE,1603937047,62.49,17.33,41.0,93,10.29,56
217,vrangel,RU,1603937048,42.73,133.08,43.45,60,17.47,0
218,puerto rondon,CO,1603937048,6.28,-71.1,76.62,91,4.85,86
219,paamiut,GL,1603937049,61.99,-49.67,27.43,87,12.77,100
220,naze,JP,1603937049,28.37,129.48,80.6,61,8.05,20
221,natal,BR,1603936883,-5.79,-35.21,78.8,78,9.17,20
222,souillac,MU,1603936873,-20.52,57.52,71.01,72,5.01,94
223,marsabit,KE,1603937050,2.33,37.99,63.63,88,15.41,65
224,orlik,RU,1603937050,52.52,99.83,25.63,85,2.46,23
225,kungurtug,RU,1603937051,50.6,97.52,32.32,80,0.22,0
226,inirida,CO,1603937051,3.87,-67.92,76.75,91,1.72,90
227,new norfolk,AU,1603937051,-42.78,147.06,69.01,49,1.99,59
228,maniitsoq,GL,1603937052,65.42,-52.9,22.03,83,3.09,72
229,gulu,UG,1603937052,2.77,32.3,64.6,95,2.89,50
230,kindu,CD,1603937052,-2.95,25.95,69.87,98,1.66,100
231,port lincoln,AU,1603936363,-34.73,135.87,60.58,65,22.48,67
232,oktyabrskoye,RU,1603936542,43.06,44.74,44.6,93,4.47,0
